Certificate,Name,Year,Rating,RatingReason,Studio
24865,"Van, The",1977,R,,"Crown International Pictures, Inc."
24866,Yosemite - An Experience To Remember,1977,G,,"Universal City Studios, Inc."
24867,Day Of The Animals,1977,PG,,Film Ventures International
24868,"Guy From Harlem, The",1977,R,,International Cinema Inc.
24869,Fun Girls,1978,PG,,Condor Films
24870,"Solid Gold Show, The",1977,G,,United Artists
24871,Stunts,1977,PG,,New Line Cinema
24872,Fighting Black Kings,1977,PG,,New Line Cinema
24873,"Day The Music Died, The",1977,R,,Atlantic Releasing Corp.
24874,Joyride,1977,R,,American International Pictures
24875,"Bridge Too Far, A",1977,PG,,United Artists
24876,Macarthur,1977,PG,,"Universal City Studios, Inc."
24877,"Hero Ain't Nothin' But A Sandwich, A",1978,PG,,New World Pictures
24878,Tubby The Tuba,1977,G,,Alexander Schure Productions  - [Production Co.]
24879,March Or Die,1977,PG,,Columbia Pictures Industries
24880,"Enemy Of The People, An",1977,G,,Warner Bros.
24881,"Seniors, The",1977,R,,Cinema Shares International
24882,Silver Bears,1977,PG,,Columbia Pictures Industries
24883,Gray Lady Down,1977,PG,,"Universal City Studios, Inc."
24884,"Last Remake Of Beau Geste, The",1977,PG,,"Universal City Studios, Inc."
24885,Almost Summer,1977,PG,,"Universal City Studios, Inc."
24886,Which Way Is Up?,1977,R,,"Universal City Studios, Inc."
24887,Fighter Pilots,1977,PG,,Intercontinental Releasing
24888,"Last Circus Show, The",1977,PG,,Rampart Releasing
24889,"Legend Of The Wolf Woman, The",1977,R,,Twenty First Century Dist.
24890,Equus,1977,R,,United Artists
24891,Return To Boggy Creek,1977,G,,Seven Seventy-Seven Distributors
24892,For The Love Of Benji,1977,G,,Mulberry Square Releasing
24893,Of Sharks & Men,1977,PG,,Film Saturations
24894,Submission,1977,R,,Joseph Brenner Associates
24895,Wishbone Cutter,1977,PG,,Howco International
24896,Island Of Dr. Moreau,1977,PG,,American International Pictures
24897,Maniac,1977,PG,,New World Pictures
24898,Holy Terror,1977,R,,Dynamite Entertainment
24899,"Heretic, The",1977,R,,Warner Bros. Inc.
24900,Fighting Mad,1977,R,,Twenty First Century Dist.
24901,"Oh, God!",1977,PG,,Warner Bros. Inc.
24902,"Private Files Of J. Edgar Hoover, The",1977,PG,,American International Pictures
24903,Death Promise,1977,R,,Howard Mahler Films
24906,Killers On Wheels,1977,R,,Howard Mahler Films
24907,Cop Killers,1977,R,,General National
24908,Between The Lines,1977,R,,"Midwest Film Productions, Inc."
24910,Fantastic Animation Festival,1977,PG,,Crest Films
24911,"Lincoln Conspiracy, The",1977,G,,"Jensen Farley Pictures, Inc."
24912,It's Not The Size That Counts,1977,R,,Joseph Brenner Associates
24913,"Teasers, The",1977,R,,"Group I Films, Inc."
24914,Tentacles,1977,PG,,American International Pictures
